locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKCACHGP_00001	CDS	1002				hypothetical protein
JKCACHGP_00002	tRNA	75				tRNA-Glu(ttc)
JKCACHGP_00003	CDS	405				hypothetical protein
JKCACHGP_00004	CDS	948	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
JKCACHGP_00005	tRNA	76				tRNA-Arg(ccg)
JKCACHGP_00006	CDS	1446	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
JKCACHGP_00007	CDS	534	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
JKCACHGP_00008	CDS	1386				hypothetical protein
JKCACHGP_00009	CDS	405	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
JKCACHGP_00010	CDS	1026	asrA		COG1145	Anaerobic sulfite reductase subunit A
JKCACHGP_00011	CDS	903	asrB		COG0543	Anaerobic sulfite reductase subunit B
JKCACHGP_00012	CDS	789				hypothetical protein
JKCACHGP_00013	CDS	1290	hoxH	1.12.1.2		NAD-reducing hydrogenase HoxS subunit beta
JKCACHGP_00014	CDS	1056	mreB		COG1077	Cell shape-determining protein MreB
JKCACHGP_00015	CDS	1023				hypothetical protein
JKCACHGP_00016	CDS	528				hypothetical protein
JKCACHGP_00017	CDS	2175	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
JKCACHGP_00018	CDS	1257	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
JKCACHGP_00019	CDS	1188				hypothetical protein
JKCACHGP_00020	CDS	2001				hypothetical protein
JKCACHGP_00021	CDS	651				hypothetical protein
JKCACHGP_00022	CDS	363			COG0537	putative HIT-like protein
JKCACHGP_00023	tRNA	77				tRNA-Asp(gtc)
JKCACHGP_00024	tRNA	77				tRNA-Asp(gtc)
JKCACHGP_00025	CDS	942	cysK_1	2.5.1.47		Cysteine synthase
JKCACHGP_00026	CDS	684				hypothetical protein
JKCACHGP_00027	CDS	1587	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
JKCACHGP_00028	CDS	1305	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
JKCACHGP_00029	CDS	936			COG0330	putative protein
JKCACHGP_00030	CDS	348	rplS			50S ribosomal protein L19
JKCACHGP_00031	CDS	792	rnhB	3.1.26.4	COG0164	Ribonuclease HII
JKCACHGP_00032	CDS	501				hypothetical protein
JKCACHGP_00033	CDS	1476	comM		COG0606	Competence protein ComM
JKCACHGP_00034	CDS	948				hypothetical protein
JKCACHGP_00035	CDS	1365	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
JKCACHGP_00036	CDS	969	xerD_1		COG4974	Tyrosine recombinase XerD
JKCACHGP_00037	CDS	99				hypothetical protein
JKCACHGP_00038	CDS	1401				hypothetical protein
JKCACHGP_00039	CDS	2916	uvrA_1		COG0178	UvrABC system protein A
JKCACHGP_00040	CDS	762				hypothetical protein
JKCACHGP_00041	CDS	1332	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
JKCACHGP_00042	CDS	693				hypothetical protein
JKCACHGP_00043	CDS	1362	dinB_1	2.7.7.7		DNA polymerase IV
JKCACHGP_00044	CDS	486				hypothetical protein
JKCACHGP_00045	CDS	1458				hypothetical protein
JKCACHGP_00046	CDS	249				hypothetical protein
JKCACHGP_00047	CDS	327				hypothetical protein
JKCACHGP_00048	CDS	981				hypothetical protein
JKCACHGP_00049	CDS	318				hypothetical protein
JKCACHGP_00050	CDS	2700	rexB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
JKCACHGP_00051	CDS	3720	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
JKCACHGP_00052	CDS	306				hypothetical protein
JKCACHGP_00053	CDS	777		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
JKCACHGP_00054	CDS	255				hypothetical protein
JKCACHGP_00055	CDS	1083	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
JKCACHGP_00056	CDS	1578	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
JKCACHGP_00057	CDS	1521	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
JKCACHGP_00058	CDS	579				hypothetical protein
JKCACHGP_00059	CDS	1698	fadD3	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
JKCACHGP_00060	CDS	306				hypothetical protein
JKCACHGP_00061	CDS	291				hypothetical protein
JKCACHGP_00062	CDS	1467				hypothetical protein
JKCACHGP_00063	CDS	1338	yqcE			Inner membrane protein YqcE
JKCACHGP_00064	CDS	984	aes_1	3.1.1.-	COG0657	Acetyl esterase
JKCACHGP_00065	CDS	1149	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
JKCACHGP_00066	CDS	1215	caiB_1	2.8.3.21		L-carnitine CoA-transferase
JKCACHGP_00067	CDS	1599	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
JKCACHGP_00068	CDS	867				hypothetical protein
JKCACHGP_00069	CDS	1416	ygcS			Inner membrane metabolite transport protein YgcS
JKCACHGP_00070	CDS	786	caiD	4.2.1.149		Carnitinyl-CoA dehydratase
JKCACHGP_00071	CDS	849	fixA_1		COG2086	Protein FixA
JKCACHGP_00072	CDS	885	fixB_1		COG2025	Protein FixB
JKCACHGP_00073	CDS	1302		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
JKCACHGP_00074	CDS	300	fixX_1		COG2440	Ferredoxin-like protein FixX
