locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMAGNBEK_00001	CDS	654	ftsK		COG1674	DNA translocase FtsK
LMAGNBEK_00002	CDS	1164				hypothetical protein
LMAGNBEK_00003	CDS	498				hypothetical protein
LMAGNBEK_00004	CDS	1314	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
LMAGNBEK_00005	CDS	1179	cinA			Putative competence-damage inducible protein
LMAGNBEK_00006	CDS	1056	recA		COG0468	Protein RecA
LMAGNBEK_00007	CDS	708	recX			Regulatory protein RecX
LMAGNBEK_00008	CDS	1572	rny	3.1.-.-	COG1418	Ribonuclease Y
LMAGNBEK_00009	CDS	1086	mutL			DNA mismatch repair protein MutL
LMAGNBEK_00010	CDS	333				hypothetical protein
LMAGNBEK_00011	CDS	1359	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
LMAGNBEK_00012	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
LMAGNBEK_00013	CDS	924	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
LMAGNBEK_00014	CDS	1323	hflX		COG2262	GTPase HflX
LMAGNBEK_00015	CDS	639	lexA	3.4.21.88	COG1974	LexA repressor
LMAGNBEK_00016	CDS	447	nrdR		COG1327	Transcriptional repressor NrdR
LMAGNBEK_00017	CDS	435	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
LMAGNBEK_00018	CDS	510				hypothetical protein
LMAGNBEK_00019	CDS	600				hypothetical protein
LMAGNBEK_00020	CDS	930	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
LMAGNBEK_00021	CDS	954	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
LMAGNBEK_00022	CDS	1386		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
LMAGNBEK_00023	CDS	444				hypothetical protein
LMAGNBEK_00024	CDS	594				hypothetical protein
LMAGNBEK_00025	CDS	1725				hypothetical protein
LMAGNBEK_00026	CDS	444				hypothetical protein
LMAGNBEK_00027	CDS	1515				hypothetical protein
LMAGNBEK_00028	CDS	432				hypothetical protein
LMAGNBEK_00029	CDS	1308	paaK_1	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
LMAGNBEK_00030	CDS	1893				hypothetical protein
LMAGNBEK_00031	CDS	687	pgsA2	2.7.8.41	COG0558	Putative cardiolipin synthase
LMAGNBEK_00032	CDS	366	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
LMAGNBEK_00033	CDS	1089	hycE		COG3261	Formate hydrogenlyase subunit 5
LMAGNBEK_00034	CDS	690				hypothetical protein
LMAGNBEK_00035	CDS	444	hycG		COG3260	Formate hydrogenlyase subunit 7
LMAGNBEK_00036	CDS	870	hycD_1		COG0650	Formate hydrogenlyase subunit 4
LMAGNBEK_00037	CDS	1935	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
LMAGNBEK_00038	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
LMAGNBEK_00039	CDS	441				hypothetical protein
LMAGNBEK_00040	CDS	630				hypothetical protein
LMAGNBEK_00041	CDS	333				hypothetical protein
LMAGNBEK_00042	tRNA	77				tRNA-Pro(ggg)
LMAGNBEK_00043	CDS	2655				hypothetical protein
LMAGNBEK_00044	CDS	1326	hemW		COG0635	Heme chaperone HemW
LMAGNBEK_00045	CDS	1425				hypothetical protein
LMAGNBEK_00046	CDS	1677	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
LMAGNBEK_00047	CDS	1530				hypothetical protein
LMAGNBEK_00048	CDS	1884	urdA_1	1.3.99.33	COG0431	Urocanate reductase
LMAGNBEK_00049	CDS	1557	fccA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
LMAGNBEK_00050	CDS	609				hypothetical protein
LMAGNBEK_00051	CDS	237				hypothetical protein
LMAGNBEK_00052	CDS	1176	hemH	4.99.1.1		Ferrochelatase
LMAGNBEK_00053	CDS	1068	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
LMAGNBEK_00054	CDS	576	lspA	3.4.23.36		Lipoprotein signal peptidase
LMAGNBEK_00055	CDS	2847	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
LMAGNBEK_00056	CDS	873			COG1307	DegV domain-containing protein
LMAGNBEK_00057	CDS	1299	dinB_1	2.7.7.7		DNA polymerase IV
LMAGNBEK_00058	CDS	828	coaX_1	2.7.1.33	COG1521	Type III pantothenate kinase
LMAGNBEK_00059	CDS	1020				hypothetical protein
LMAGNBEK_00060	CDS	1230	rfbD	5.4.99.9		UDP-galactopyranose mutase
LMAGNBEK_00061	CDS	1011	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
LMAGNBEK_00062	CDS	537	malT_1			HTH-type transcriptional regulator MalT
LMAGNBEK_00063	CDS	894	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
LMAGNBEK_00064	CDS	1605				hypothetical protein
LMAGNBEK_00065	CDS	921				hypothetical protein
LMAGNBEK_00066	CDS	1032				hypothetical protein
LMAGNBEK_00067	CDS	147				hypothetical protein
LMAGNBEK_00068	CDS	1527				hypothetical protein
LMAGNBEK_00069	CDS	324	dltC			D-alanyl carrier protein
LMAGNBEK_00070	CDS	1185				hypothetical protein
LMAGNBEK_00071	CDS	1539	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
LMAGNBEK_00072	CDS	165				hypothetical protein
LMAGNBEK_00073	CDS	1236				hypothetical protein
LMAGNBEK_00074	CDS	2706	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
LMAGNBEK_00075	CDS	1110				hypothetical protein
LMAGNBEK_00076	CDS	1059	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
LMAGNBEK_00077	CDS	1353	hldE	2.7.7.70		Bifunctional protein HldE
LMAGNBEK_00078	CDS	2385				hypothetical protein
LMAGNBEK_00079	CDS	1419				hypothetical protein
LMAGNBEK_00080	CDS	807				hypothetical protein
LMAGNBEK_00081	CDS	1074	neuB	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
LMAGNBEK_00082	CDS	1650	kdsB	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
LMAGNBEK_00083	CDS	1761				hypothetical protein
LMAGNBEK_00084	CDS	1017				hypothetical protein
LMAGNBEK_00085	CDS	1437				hypothetical protein
LMAGNBEK_00086	CDS	1431				hypothetical protein
LMAGNBEK_00087	CDS	960				hypothetical protein
LMAGNBEK_00088	CDS	1461	bchE	1.21.98.3	COG1032	Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
LMAGNBEK_00089	CDS	837	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
LMAGNBEK_00090	CDS	1020				hypothetical protein
LMAGNBEK_00091	CDS	1287				hypothetical protein
LMAGNBEK_00092	CDS	1188				IS3 family transposase ISBlo11
LMAGNBEK_00093	CDS	189				hypothetical protein
LMAGNBEK_00094	CDS	1056	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
LMAGNBEK_00095	CDS	2259				hypothetical protein
LMAGNBEK_00096	CDS	1245				hypothetical protein
LMAGNBEK_00097	CDS	1914				hypothetical protein
LMAGNBEK_00098	CDS	1245	tarK_1	2.7.8.46		Teichoic acid ribitol-phosphate primase
LMAGNBEK_00099	CDS	1023	tarJ	1.1.1.405	COG1063	Ribulose-5-phosphate reductase 1
LMAGNBEK_00100	CDS	705	tarI	2.7.7.40		Ribitol-5-phosphate cytidylyltransferase
LMAGNBEK_00101	CDS	528				hypothetical protein
LMAGNBEK_00102	tRNA	76				tRNA-Ala(ggc)
LMAGNBEK_00103	CDS	849	apbC		COG0489	Iron-sulfur cluster carrier protein
LMAGNBEK_00104	CDS	318				hypothetical protein
LMAGNBEK_00105	CDS	2679	metH	2.1.1.13	COG0646	Methionine synthase
LMAGNBEK_00106	CDS	663				hypothetical protein
LMAGNBEK_00107	CDS	933	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
LMAGNBEK_00108	CDS	516				hypothetical protein
LMAGNBEK_00109	CDS	657				hypothetical protein
LMAGNBEK_00110	CDS	660				hypothetical protein
LMAGNBEK_00111	CDS	420				hypothetical protein
LMAGNBEK_00112	CDS	1152				hypothetical protein
LMAGNBEK_00113	CDS	678			COG0664	putative ABC transporter ATP-binding protein
LMAGNBEK_00114	CDS	1203				hypothetical protein
LMAGNBEK_00115	CDS	567	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
LMAGNBEK_00116	CDS	2361	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
LMAGNBEK_00117	CDS	1779	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
LMAGNBEK_00118	CDS	705	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
LMAGNBEK_00119	CDS	1635	mdtD_1			Putative multidrug resistance protein MdtD
LMAGNBEK_00120	CDS	567				hypothetical protein
LMAGNBEK_00121	CDS	819		3.2.1.-		Protein-ADP-ribose hydrolase
LMAGNBEK_00122	CDS	2346				hypothetical protein
LMAGNBEK_00123	CDS	1545				hypothetical protein
LMAGNBEK_00124	CDS	1524				hypothetical protein
LMAGNBEK_00125	CDS	867				hypothetical protein
LMAGNBEK_00126	CDS	537	ttrB_1		COG0437	Tetrathionate reductase subunit B
LMAGNBEK_00127	CDS	2214	phsA_1	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
LMAGNBEK_00128	CDS	708				hypothetical protein
LMAGNBEK_00129	CDS	1647				hypothetical protein
LMAGNBEK_00130	CDS	1464				hypothetical protein
LMAGNBEK_00131	CDS	1020				hypothetical protein
LMAGNBEK_00132	CDS	909				hypothetical protein
LMAGNBEK_00133	CDS	639				hypothetical protein
LMAGNBEK_00134	CDS	675				hypothetical protein
LMAGNBEK_00135	CDS	954				hypothetical protein
LMAGNBEK_00136	CDS	543				hypothetical protein
LMAGNBEK_00137	CDS	753		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
LMAGNBEK_00138	CDS	513				hypothetical protein
LMAGNBEK_00139	CDS	615				hypothetical protein
LMAGNBEK_00140	CDS	1761	proS	6.1.1.15	COG0442	Proline--tRNA ligase
LMAGNBEK_00141	CDS	162	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LMAGNBEK_00142	CDS	1668				hypothetical protein
LMAGNBEK_00143	CDS	1629				hypothetical protein
LMAGNBEK_00144	CDS	1419				hypothetical protein
LMAGNBEK_00145	CDS	522	rplJ		COG0244	50S ribosomal protein L10
LMAGNBEK_00146	CDS	378	rplL			50S ribosomal protein L7/L12
