locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBOLFKKE_00001	CDS	126				hypothetical protein
BBOLFKKE_00002	CDS	1545				hypothetical protein
BBOLFKKE_00003	CDS	1524				hypothetical protein
BBOLFKKE_00004	CDS	867				hypothetical protein
BBOLFKKE_00005	CDS	537	ttrB_1		COG0437	Tetrathionate reductase subunit B
BBOLFKKE_00006	CDS	2214	phsA_1	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
BBOLFKKE_00007	CDS	708				hypothetical protein
BBOLFKKE_00008	CDS	1647				hypothetical protein
BBOLFKKE_00009	CDS	1464				hypothetical protein
BBOLFKKE_00010	CDS	828	fixB_1		COG2025	Protein FixB
BBOLFKKE_00011	CDS	759	fixA_1		COG2086	Protein FixA
BBOLFKKE_00012	CDS	1173	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
BBOLFKKE_00013	CDS	1209	baiF_1	2.8.3.25	COG1804	Bile acid-CoA transferase
BBOLFKKE_00014	CDS	1305				hypothetical protein
BBOLFKKE_00015	CDS	444				hypothetical protein
BBOLFKKE_00016	CDS	546				hypothetical protein
BBOLFKKE_00017	CDS	1212	baiF_2	2.8.3.25	COG1804	Bile acid-CoA transferase
BBOLFKKE_00018	CDS	2673	malT_1		COG2909	HTH-type transcriptional regulator MalT
BBOLFKKE_00019	CDS	1566	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BBOLFKKE_00020	CDS	1305				hypothetical protein
BBOLFKKE_00021	CDS	297	fixX_1		COG2440	Ferredoxin-like protein FixX
BBOLFKKE_00022	CDS	1296		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
BBOLFKKE_00023	CDS	1014				hypothetical protein
BBOLFKKE_00024	CDS	801				hypothetical protein
BBOLFKKE_00025	CDS	639				hypothetical protein
BBOLFKKE_00026	CDS	675				hypothetical protein
BBOLFKKE_00027	CDS	954				hypothetical protein
BBOLFKKE_00028	CDS	543				hypothetical protein
BBOLFKKE_00029	CDS	753		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
BBOLFKKE_00030	CDS	1689				hypothetical protein
BBOLFKKE_00031	CDS	1770				hypothetical protein
BBOLFKKE_00032	CDS	513				hypothetical protein
BBOLFKKE_00033	CDS	615				hypothetical protein
BBOLFKKE_00034	CDS	1761	proS	6.1.1.15	COG0442	Proline--tRNA ligase
BBOLFKKE_00035	CDS	1071	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
BBOLFKKE_00036	CDS	1113				hypothetical protein
BBOLFKKE_00037	CDS	3819				hypothetical protein
BBOLFKKE_00038	CDS	1263	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
BBOLFKKE_00039	CDS	1029				hypothetical protein
BBOLFKKE_00040	CDS	780	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
BBOLFKKE_00041	CDS	564	frr		COG0233	Ribosome-recycling factor
BBOLFKKE_00042	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
BBOLFKKE_00043	CDS	231				hypothetical protein
BBOLFKKE_00044	CDS	225				hypothetical protein
BBOLFKKE_00045	CDS	813				hypothetical protein
BBOLFKKE_00046	CDS	123				hypothetical protein
BBOLFKKE_00047	CDS	651				hypothetical protein
BBOLFKKE_00048	CDS	321				hypothetical protein
BBOLFKKE_00049	CDS	276				hypothetical protein
BBOLFKKE_00050	CDS	1374	pqqE_1	1.21.98.4		PqqA peptide cyclase
BBOLFKKE_00051	CDS	1581				hypothetical protein
BBOLFKKE_00052	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
BBOLFKKE_00053	CDS	654	artQ		COG0765	Arginine transport system permease protein ArtQ
BBOLFKKE_00054	CDS	849	fliY		COG0834	L-cystine-binding protein FliY
BBOLFKKE_00055	CDS	1173	napF_1			Ferredoxin-type protein NapF
BBOLFKKE_00056	CDS	1329	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
BBOLFKKE_00057	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
BBOLFKKE_00058	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
BBOLFKKE_00059	CDS	1812				hypothetical protein
BBOLFKKE_00060	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
BBOLFKKE_00061	CDS	663				hypothetical protein
BBOLFKKE_00062	CDS	819				hypothetical protein
BBOLFKKE_00063	CDS	852				hypothetical protein
BBOLFKKE_00064	CDS	1977				hypothetical protein
BBOLFKKE_00065	CDS	492				hypothetical protein
BBOLFKKE_00066	CDS	222				hypothetical protein
BBOLFKKE_00067	CDS	813				hypothetical protein
BBOLFKKE_00068	CDS	675	graR		COG0745	Response regulator protein GraR
BBOLFKKE_00069	CDS	1167	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BBOLFKKE_00070	CDS	99				hypothetical protein
BBOLFKKE_00071	CDS	1023	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BBOLFKKE_00072	CDS	2214				hypothetical protein
BBOLFKKE_00073	CDS	444	yqeY		COG1610	putative protein YqeY
BBOLFKKE_00074	CDS	1170				hypothetical protein
BBOLFKKE_00075	CDS	873				hypothetical protein
BBOLFKKE_00076	CDS	663	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
BBOLFKKE_00077	CDS	3519	napA_1	1.9.6.1		Periplasmic nitrate reductase
BBOLFKKE_00078	CDS	1677				hypothetical protein
BBOLFKKE_00079	CDS	1215	napF_2			Ferredoxin-type protein NapF
BBOLFKKE_00080	CDS	873				hypothetical protein
BBOLFKKE_00081	CDS	675				hypothetical protein
BBOLFKKE_00082	CDS	921				hypothetical protein
BBOLFKKE_00083	CDS	696	torD_1			Chaperone protein TorD
BBOLFKKE_00084	CDS	639	napG_1		COG1145	Ferredoxin-type protein NapG
BBOLFKKE_00085	CDS	1083				hypothetical protein
BBOLFKKE_00086	CDS	1992				hypothetical protein
BBOLFKKE_00087	CDS	372				hypothetical protein
BBOLFKKE_00088	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
BBOLFKKE_00089	CDS	249	hypC		COG0298	Hydrogenase maturation factor HypC
BBOLFKKE_00090	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
BBOLFKKE_00091	CDS	1896	pgi	5.3.1.9		Glucose-6-phosphate isomerase
BBOLFKKE_00092	CDS	714	lytR		COG3279	Sensory transduction protein LytR
BBOLFKKE_00093	CDS	1410		3.4.13.-		Putative dipeptidase
BBOLFKKE_00094	CDS	1353	gltT			Proton/sodium-glutamate symport protein
BBOLFKKE_00095	CDS	567				hypothetical protein
BBOLFKKE_00096	CDS	597				hypothetical protein
BBOLFKKE_00097	CDS	2814	clpB		COG0542	Chaperone protein ClpB
