locus_tag	ftype	length_bp	gene	EC_number	COG	product
EDCEBFOB_00001	CDS	1449	ppk	2.7.4.1		Polyphosphate kinase
EDCEBFOB_00002	CDS	1731		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
EDCEBFOB_00003	CDS	681				hypothetical protein
EDCEBFOB_00004	CDS	1107	ptcA_1	2.1.3.6	COG0078	Putrescine carbamoyltransferase
EDCEBFOB_00005	CDS	1392	potE_1			Putrescine transporter PotE
EDCEBFOB_00006	CDS	1413		3.5.3.-		Peptidylarginine deiminase
EDCEBFOB_00007	CDS	1104	ptcA_2	2.1.3.6	COG0078	Putrescine carbamoyltransferase
EDCEBFOB_00008	CDS	117				hypothetical protein
EDCEBFOB_00009	CDS	909				hypothetical protein
EDCEBFOB_00010	CDS	1482	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EDCEBFOB_00011	CDS	1077	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
EDCEBFOB_00012	CDS	618	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
EDCEBFOB_00013	CDS	993				hypothetical protein
EDCEBFOB_00014	CDS	636				hypothetical protein
EDCEBFOB_00015	CDS	1182	purH	3.5.4.10		Bifunctional purine biosynthesis protein PurH
EDCEBFOB_00016	CDS	510				hypothetical protein
EDCEBFOB_00017	CDS	1167				hypothetical protein
EDCEBFOB_00018	CDS	1203				hypothetical protein
EDCEBFOB_00019	CDS	483	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
EDCEBFOB_00020	tRNA	77				tRNA-Pro(cgg)
EDCEBFOB_00021	CDS	1215	ackA_1	2.7.2.1	COG0282	Acetate kinase
EDCEBFOB_00022	CDS	1800				hypothetical protein
EDCEBFOB_00023	CDS	1671				hypothetical protein
EDCEBFOB_00024	CDS	1785				hypothetical protein
EDCEBFOB_00025	CDS	597				hypothetical protein
EDCEBFOB_00026	CDS	2781	napA_1	1.9.6.1		Periplasmic nitrate reductase
EDCEBFOB_00027	CDS	642	soeB_1		COG0437	Sulfite dehydrogenase subunit B
EDCEBFOB_00028	CDS	813				hypothetical protein
EDCEBFOB_00029	CDS	693	torD_1			Chaperone protein TorD
EDCEBFOB_00030	CDS	663	napF_1			Ferredoxin-type protein NapF
EDCEBFOB_00031	CDS	966				hypothetical protein
EDCEBFOB_00032	CDS	396				hypothetical protein
EDCEBFOB_00033	CDS	657	torD_2			Chaperone protein TorD
EDCEBFOB_00034	CDS	537	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
EDCEBFOB_00035	CDS	2406		4.2.1.112		Acetylene hydratase
EDCEBFOB_00036	CDS	1506				hypothetical protein
EDCEBFOB_00037	CDS	270	tatA_1			Sec-independent protein translocase protein TatA
EDCEBFOB_00038	CDS	471	greA		COG0782	Transcription elongation factor GreA
EDCEBFOB_00039	CDS	1995	epmA	6.3.1.-		Elongation factor P--(R)-beta-lysine ligase
EDCEBFOB_00040	CDS	1020				hypothetical protein
EDCEBFOB_00041	CDS	2586	clpC1			ATP-dependent Clp protease ATP-binding subunit ClpC1
EDCEBFOB_00042	CDS	843	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
EDCEBFOB_00043	CDS	498	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
EDCEBFOB_00044	CDS	282				hypothetical protein
EDCEBFOB_00045	CDS	1656				hypothetical protein
EDCEBFOB_00046	CDS	2298		1.-.-.-		NADH oxidase
EDCEBFOB_00047	CDS	660	fliA			RNA polymerase sigma factor FliA
EDCEBFOB_00048	CDS	666				hypothetical protein
EDCEBFOB_00049	CDS	786				hypothetical protein
EDCEBFOB_00050	CDS	222				hypothetical protein
EDCEBFOB_00051	CDS	102				hypothetical protein
EDCEBFOB_00052	CDS	327				hypothetical protein
EDCEBFOB_00053	CDS	1560	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
EDCEBFOB_00054	CDS	792	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EDCEBFOB_00055	CDS	798				hypothetical protein
EDCEBFOB_00056	CDS	660	betI_1			HTH-type transcriptional regulator BetI
EDCEBFOB_00057	CDS	156				hypothetical protein
EDCEBFOB_00058	CDS	1506				hypothetical protein
EDCEBFOB_00059	CDS	1149				hypothetical protein
EDCEBFOB_00060	CDS	282				hypothetical protein
EDCEBFOB_00061	CDS	429	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
EDCEBFOB_00062	CDS	1059	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
EDCEBFOB_00063	CDS	1299	argJ			Arginine biosynthesis bifunctional protein ArgJ
EDCEBFOB_00064	CDS	948	argB	2.7.2.8	COG0548	Acetylglutamate kinase
EDCEBFOB_00065	CDS	1236	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
EDCEBFOB_00066	CDS	1317				hypothetical protein
EDCEBFOB_00067	CDS	825				hypothetical protein
EDCEBFOB_00068	CDS	2466	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
EDCEBFOB_00069	CDS	621	ttrB_1		COG0437	Tetrathionate reductase subunit B
EDCEBFOB_00070	CDS	705	torD_3			Chaperone protein TorD
EDCEBFOB_00071	CDS	903				hypothetical protein
EDCEBFOB_00072	CDS	1257	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
EDCEBFOB_00073	CDS	435	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
