locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDMOMENL_00001	tRNA	76				tRNA-Ala(ggc)
DDMOMENL_00002	CDS	849				Iron-sulfur cluster carrier protein
DDMOMENL_00003	CDS	318				hypothetical protein
DDMOMENL_00004	CDS	2739	metH	2.1.1.13	COG0646	Methionine synthase
DDMOMENL_00005	CDS	663				hypothetical protein
DDMOMENL_00006	CDS	933	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
DDMOMENL_00007	CDS	516				hypothetical protein
DDMOMENL_00008	CDS	366				hypothetical protein
DDMOMENL_00009	CDS	657				hypothetical protein
DDMOMENL_00010	CDS	660				hypothetical protein
DDMOMENL_00011	CDS	420				hypothetical protein
DDMOMENL_00012	CDS	1152				hypothetical protein
DDMOMENL_00013	CDS	678			COG0664	putative ABC transporter ATP-binding protein
DDMOMENL_00014	CDS	1203				hypothetical protein
DDMOMENL_00015	CDS	567	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
DDMOMENL_00016	CDS	2361	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
DDMOMENL_00017	CDS	1782	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DDMOMENL_00018	CDS	705	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
DDMOMENL_00019	CDS	1635	mdtD_1			Putative multidrug resistance protein MdtD
DDMOMENL_00020	CDS	567				hypothetical protein
DDMOMENL_00021	CDS	819		3.2.1.-		Protein-ADP-ribose hydrolase
DDMOMENL_00022	CDS	2346				hypothetical protein
DDMOMENL_00023	CDS	1545				hypothetical protein
DDMOMENL_00024	CDS	1524				hypothetical protein
DDMOMENL_00025	CDS	867				hypothetical protein
DDMOMENL_00026	CDS	537	ttrB_1		COG0437	Tetrathionate reductase subunit B
DDMOMENL_00027	CDS	2214	phsA_1	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
DDMOMENL_00028	CDS	708				hypothetical protein
DDMOMENL_00029	CDS	1647				hypothetical protein
DDMOMENL_00030	CDS	1464				hypothetical protein
DDMOMENL_00031	CDS	828	fixB_1		COG2025	Protein FixB
DDMOMENL_00032	CDS	759	fixA_1		COG2086	Protein FixA
DDMOMENL_00033	CDS	1173	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
DDMOMENL_00034	CDS	1209	baiF_1	2.8.3.25	COG1804	Bile acid-CoA transferase
DDMOMENL_00035	CDS	1305				hypothetical protein
DDMOMENL_00036	CDS	444				hypothetical protein
DDMOMENL_00037	CDS	546				hypothetical protein
DDMOMENL_00038	CDS	1212	baiF_2	2.8.3.25	COG1804	Bile acid-CoA transferase
DDMOMENL_00039	CDS	2673	malT_1		COG2909	HTH-type transcriptional regulator MalT
DDMOMENL_00040	CDS	1566	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
DDMOMENL_00041	CDS	1305				hypothetical protein
DDMOMENL_00042	CDS	297	fixX		COG2440	Ferredoxin-like protein FixX
DDMOMENL_00043	CDS	1296		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
DDMOMENL_00044	CDS	1014				hypothetical protein
DDMOMENL_00045	CDS	801				hypothetical protein
DDMOMENL_00046	CDS	639				hypothetical protein
DDMOMENL_00047	CDS	675				hypothetical protein
DDMOMENL_00048	CDS	1020				hypothetical protein
DDMOMENL_00049	CDS	543				hypothetical protein
DDMOMENL_00050	CDS	753		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
DDMOMENL_00051	CDS	1182				hypothetical protein
DDMOMENL_00052	CDS	519				hypothetical protein
DDMOMENL_00053	CDS	615				hypothetical protein
DDMOMENL_00054	CDS	1761	proS	6.1.1.15	COG0442	Proline--tRNA ligase
DDMOMENL_00055	CDS	1071	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
DDMOMENL_00056	CDS	1113				hypothetical protein
DDMOMENL_00057	CDS	3819				hypothetical protein
DDMOMENL_00058	CDS	1263	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
DDMOMENL_00059	CDS	1029				hypothetical protein
DDMOMENL_00060	CDS	780	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
DDMOMENL_00061	CDS	564	frr		COG0233	Ribosome-recycling factor
DDMOMENL_00062	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
DDMOMENL_00063	CDS	231				hypothetical protein
DDMOMENL_00064	CDS	225				hypothetical protein
DDMOMENL_00065	CDS	813				hypothetical protein
DDMOMENL_00066	CDS	123				hypothetical protein
DDMOMENL_00067	CDS	651				hypothetical protein
DDMOMENL_00068	CDS	321				hypothetical protein
DDMOMENL_00069	CDS	276				hypothetical protein
DDMOMENL_00070	CDS	1374	pqqE	1.21.98.4		PqqA peptide cyclase
DDMOMENL_00071	CDS	1581				hypothetical protein
DDMOMENL_00072	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
DDMOMENL_00073	CDS	654	artQ		COG0765	Arginine transport system permease protein ArtQ
DDMOMENL_00074	CDS	849	fliY_1		COG0834	L-cystine-binding protein FliY
DDMOMENL_00075	CDS	1173	napF_1			Ferredoxin-type protein NapF
DDMOMENL_00076	CDS	1347	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
DDMOMENL_00077	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
DDMOMENL_00078	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
