locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDOELADN_00001	CDS	1062				hypothetical protein
DDOELADN_00002	CDS	621	aroK_1	2.7.1.71		Shikimate kinase
DDOELADN_00003	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
DDOELADN_00004	CDS	1329	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
DDOELADN_00005	CDS	1173	napF_1			Ferredoxin-type protein NapF
DDOELADN_00006	CDS	849	fliY_1		COG0834	L-cystine-binding protein FliY
DDOELADN_00007	CDS	654	artQ		COG0765	Arginine transport system permease protein ArtQ
DDOELADN_00008	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
DDOELADN_00009	CDS	1584				hypothetical protein
DDOELADN_00010	CDS	1326	pqqE	1.21.98.4		PqqA peptide cyclase
DDOELADN_00011	CDS	321				hypothetical protein
DDOELADN_00012	CDS	321				hypothetical protein
DDOELADN_00013	CDS	651				hypothetical protein
DDOELADN_00014	CDS	123				hypothetical protein
DDOELADN_00015	CDS	813				hypothetical protein
DDOELADN_00016	CDS	225				hypothetical protein
DDOELADN_00017	CDS	231				hypothetical protein
DDOELADN_00018	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
DDOELADN_00019	CDS	564	frr		COG0233	Ribosome-recycling factor
DDOELADN_00020	CDS	780	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
DDOELADN_00021	CDS	1029				hypothetical protein
DDOELADN_00022	CDS	1263	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
DDOELADN_00023	CDS	3819				hypothetical protein
DDOELADN_00024	CDS	1113				hypothetical protein
DDOELADN_00025	CDS	1071	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
DDOELADN_00026	CDS	1761	proS	6.1.1.15	COG0442	Proline--tRNA ligase
DDOELADN_00027	CDS	615				hypothetical protein
DDOELADN_00028	CDS	513				hypothetical protein
DDOELADN_00029	CDS	753		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
DDOELADN_00030	CDS	543				hypothetical protein
DDOELADN_00031	CDS	954				hypothetical protein
DDOELADN_00032	CDS	675				hypothetical protein
DDOELADN_00033	CDS	639				hypothetical protein
DDOELADN_00034	CDS	732				hypothetical protein
DDOELADN_00035	CDS	1020				hypothetical protein
DDOELADN_00036	CDS	1461				hypothetical protein
DDOELADN_00037	CDS	1647				hypothetical protein
DDOELADN_00038	CDS	708				hypothetical protein
DDOELADN_00039	CDS	2214	phsA_1	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
DDOELADN_00040	CDS	537	ttrB_1		COG0437	Tetrathionate reductase subunit B
DDOELADN_00041	CDS	867				hypothetical protein
DDOELADN_00042	CDS	1524				hypothetical protein
DDOELADN_00043	CDS	1545				hypothetical protein
DDOELADN_00044	CDS	2343				hypothetical protein
DDOELADN_00045	CDS	1095				hypothetical protein
DDOELADN_00046	CDS	1257				hypothetical protein
DDOELADN_00047	CDS	891	ymdB	3.1.1.106		O-acetyl-ADP-ribose deacetylase
DDOELADN_00048	CDS	528				hypothetical protein
DDOELADN_00049	CDS	1947				hypothetical protein
DDOELADN_00050	CDS	1434				hypothetical protein
DDOELADN_00051	CDS	255				hypothetical protein
DDOELADN_00052	CDS	453				hypothetical protein
DDOELADN_00053	CDS	561				hypothetical protein
DDOELADN_00054	CDS	759				hypothetical protein
DDOELADN_00055	CDS	1416				hypothetical protein
