locus_tag	ftype	length_bp	gene	EC_number	COG	product
CLHJOPND_00001	CDS	354				hypothetical protein
CLHJOPND_00002	CDS	189				hypothetical protein
CLHJOPND_00003	CDS	315				hypothetical protein
CLHJOPND_00004	CDS	1347	pepC	3.4.22.40	COG3579	Aminopeptidase C
CLHJOPND_00005	CDS	1359				hypothetical protein
CLHJOPND_00006	CDS	198	norV			Anaerobic nitric oxide reductase flavorubredoxin
CLHJOPND_00007	CDS	1323				L-lactate transporter
CLHJOPND_00008	CDS	318				hypothetical protein
CLHJOPND_00009	CDS	561				hypothetical protein
CLHJOPND_00010	CDS	759				hypothetical protein
CLHJOPND_00011	CDS	1416				hypothetical protein
CLHJOPND_00012	CDS	981	benM			HTH-type transcriptional regulator BenM
CLHJOPND_00013	CDS	1932	urdA_1	1.3.99.33	COG0431	Urocanate reductase
CLHJOPND_00014	CDS	1674	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
CLHJOPND_00015	CDS	660				hypothetical protein
CLHJOPND_00016	CDS	864				hypothetical protein
CLHJOPND_00017	CDS	981			COG0609	putative ABC transporter permease protein
CLHJOPND_00018	CDS	786			COG1120	putative ABC transporter ATP-binding protein
CLHJOPND_00019	CDS	1170				hypothetical protein
CLHJOPND_00020	CDS	1260	nrfA_1	1.7.2.2		Cytochrome c-552
CLHJOPND_00021	CDS	744	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
CLHJOPND_00022	CDS	1524	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CLHJOPND_00023	CDS	555				hypothetical protein
CLHJOPND_00024	CDS	402				hypothetical protein
CLHJOPND_00025	CDS	540				hypothetical protein
CLHJOPND_00026	CDS	924	pdxK	2.7.1.35		Pyridoxine/pyridoxal/pyridoxamine kinase
CLHJOPND_00027	CDS	1062				hypothetical protein
CLHJOPND_00028	CDS	870				hypothetical protein
CLHJOPND_00029	CDS	1605				hypothetical protein
CLHJOPND_00030	CDS	813	fetB		COG0390	putative iron export permease protein FetB
CLHJOPND_00031	CDS	870	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CLHJOPND_00032	CDS	525				hypothetical protein
CLHJOPND_00033	CDS	1410				hypothetical protein
CLHJOPND_00034	CDS	468				hypothetical protein
CLHJOPND_00035	CDS	456				hypothetical protein
CLHJOPND_00036	CDS	324				hypothetical protein
CLHJOPND_00037	CDS	960				hypothetical protein
CLHJOPND_00038	CDS	975				hypothetical protein
CLHJOPND_00039	CDS	1365	moaA_1			GTP 3',8-cyclase
CLHJOPND_00040	CDS	606				hypothetical protein
CLHJOPND_00041	CDS	2307				hypothetical protein
CLHJOPND_00042	CDS	1527				hypothetical protein
CLHJOPND_00043	CDS	507				hypothetical protein
CLHJOPND_00044	tRNA	78				tRNA-Met(cat)
CLHJOPND_00045	CDS	1041				hypothetical protein
CLHJOPND_00046	CDS	1425	purF_1	2.4.2.14		Amidophosphoribosyltransferase
CLHJOPND_00047	CDS	2724	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
CLHJOPND_00048	CDS	879	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
CLHJOPND_00049	CDS	867				hypothetical protein
CLHJOPND_00050	CDS	1710	fccA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
CLHJOPND_00051	CDS	1350				hypothetical protein
CLHJOPND_00052	CDS	717	ypdB		COG3279	Transcriptional regulatory protein YpdB
CLHJOPND_00053	CDS	1074	pilT		COG2805	Twitching mobility protein
CLHJOPND_00054	CDS	420				hypothetical protein
CLHJOPND_00055	CDS	777				hypothetical protein
CLHJOPND_00056	CDS	627				hypothetical protein
CLHJOPND_00057	CDS	324				hypothetical protein
CLHJOPND_00058	CDS	1053	epsF		COG1459	Type II secretion system protein F
CLHJOPND_00059	CDS	993				hypothetical protein
