locus_tag	ftype	length_bp	gene	EC_number	COG	product
AODENMIE_00001	CDS	741				hypothetical protein
AODENMIE_00002	CDS	609				hypothetical protein
AODENMIE_00003	CDS	2730				hypothetical protein
AODENMIE_00004	CDS	1980				hypothetical protein
AODENMIE_00005	CDS	2160				hypothetical protein
AODENMIE_00006	tRNA	76				tRNA-Ala(tgc)
AODENMIE_00007	tRNA	77				tRNA-Ile(gat)
AODENMIE_00008	CDS	513			COG1259	putative protein
AODENMIE_00009	CDS	114				hypothetical protein
AODENMIE_00010	CDS	2841	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
AODENMIE_00011	CDS	1944	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
AODENMIE_00012	CDS	1107	recF		COG1195	DNA replication and repair protein RecF
AODENMIE_00013	CDS	1101	dnaN		COG0592	Beta sliding clamp
AODENMIE_00014	CDS	1134				hypothetical protein
AODENMIE_00015	CDS	1629	dnaA			Chromosomal replication initiator protein DnaA
AODENMIE_00016	CDS	777	yidC			Membrane protein insertase YidC
AODENMIE_00017	CDS	588				hypothetical protein
AODENMIE_00018	CDS	675	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
AODENMIE_00019	CDS	996				Iron-sulfur cluster carrier protein
AODENMIE_00020	CDS	1059	noc			Nucleoid occlusion protein
AODENMIE_00021	CDS	924	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
AODENMIE_00022	CDS	1137	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
AODENMIE_00023	CDS	639				hypothetical protein
AODENMIE_00024	CDS	2970	dinG	3.1.-.-		3'-5' exonuclease DinG
AODENMIE_00025	CDS	951				hypothetical protein
AODENMIE_00026	CDS	657				hypothetical protein
AODENMIE_00027	CDS	852				hypothetical protein
AODENMIE_00028	CDS	804				hypothetical protein
AODENMIE_00029	CDS	3819				hypothetical protein
AODENMIE_00030	CDS	1263	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
AODENMIE_00031	CDS	1029				hypothetical protein
AODENMIE_00032	CDS	780	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
AODENMIE_00033	CDS	585	frr		COG0233	Ribosome-recycling factor
AODENMIE_00034	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
AODENMIE_00035	CDS	231				hypothetical protein
AODENMIE_00036	CDS	225				hypothetical protein
AODENMIE_00037	CDS	813				hypothetical protein
AODENMIE_00038	CDS	123				hypothetical protein
AODENMIE_00039	CDS	651				hypothetical protein
AODENMIE_00040	CDS	321				hypothetical protein
AODENMIE_00041	CDS	321				hypothetical protein
AODENMIE_00042	CDS	534				hypothetical protein
AODENMIE_00043	CDS	1392	pqqE	1.21.98.4		PqqA peptide cyclase
AODENMIE_00044	CDS	1593				hypothetical protein
AODENMIE_00045	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
AODENMIE_00046	CDS	654	artQ		COG0765	Arginine transport system permease protein ArtQ
AODENMIE_00047	CDS	849	fliY_1		COG0834	L-cystine-binding protein FliY
AODENMIE_00048	CDS	1173	napF_1			Ferredoxin-type protein NapF
AODENMIE_00049	CDS	1329	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
AODENMIE_00050	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
AODENMIE_00051	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
AODENMIE_00052	CDS	2028				hypothetical protein
AODENMIE_00053	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
AODENMIE_00054	CDS	663				hypothetical protein
AODENMIE_00055	CDS	771				hypothetical protein
AODENMIE_00056	CDS	852				hypothetical protein
AODENMIE_00057	CDS	1818				hypothetical protein
AODENMIE_00058	tRNA	77				tRNA-Met(cat)
AODENMIE_00059	tRNA	76				tRNA-Thr(ggt)
AODENMIE_00060	tRNA	85				tRNA-Tyr(gta)
AODENMIE_00061	CDS	1170				hypothetical protein
AODENMIE_00062	CDS	1191	fprA	1.-.-.-	COG0426	Nitric oxide reductase
AODENMIE_00063	CDS	1563	opuE_1		COG0591	Osmoregulated proline transporter OpuE
AODENMIE_00064	CDS	1290			COG1167	Putative aminotransferase/MSMEI_6121
AODENMIE_00065	CDS	1401		6.3.1.12		D-aspartate ligase
AODENMIE_00066	CDS	732		5.1.1.13		Aspartate racemase
AODENMIE_00067	CDS	1881	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
AODENMIE_00068	CDS	960				hypothetical protein
AODENMIE_00069	CDS	387				hypothetical protein
AODENMIE_00070	CDS	966				hypothetical protein
AODENMIE_00071	CDS	765	dmsD_1			Tat proofreading chaperone DmsD
AODENMIE_00072	CDS	627	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
AODENMIE_00073	CDS	2655	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
AODENMIE_00074	CDS	714	msrQ_1			Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
AODENMIE_00075	CDS	1395				hypothetical protein
AODENMIE_00076	CDS	717	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
AODENMIE_00077	CDS	1731	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
AODENMIE_00078	CDS	576	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
AODENMIE_00079	CDS	2631	dmsA_2	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
AODENMIE_00080	CDS	3552		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
AODENMIE_00081	CDS	1656	hbpA		COG0747	Heme-binding protein A
AODENMIE_00082	CDS	570	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
AODENMIE_00083	CDS	1227				hypothetical protein
AODENMIE_00084	CDS	1476				hypothetical protein
AODENMIE_00085	CDS	1251				hypothetical protein
AODENMIE_00086	CDS	996				hypothetical protein
AODENMIE_00087	CDS	924				hypothetical protein
AODENMIE_00088	CDS	1581	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
AODENMIE_00089	CDS	690				hypothetical protein
