locus_tag	ftype	length_bp	gene	EC_number	COG	product
ONCNJIDD_00001	CDS	849	fliY_1		COG0834	L-cystine-binding protein FliY
ONCNJIDD_00002	CDS	1173	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
ONCNJIDD_00003	CDS	1347	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
ONCNJIDD_00004	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
ONCNJIDD_00005	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
ONCNJIDD_00006	CDS	2073				hypothetical protein
ONCNJIDD_00007	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
ONCNJIDD_00008	CDS	663				hypothetical protein
ONCNJIDD_00009	CDS	771				hypothetical protein
ONCNJIDD_00010	CDS	852				hypothetical protein
ONCNJIDD_00011	CDS	1968				hypothetical protein
ONCNJIDD_00012	CDS	492				hypothetical protein
ONCNJIDD_00013	CDS	222				hypothetical protein
ONCNJIDD_00014	CDS	441				hypothetical protein
ONCNJIDD_00015	CDS	675	graR		COG0745	Response regulator protein GraR
ONCNJIDD_00016	CDS	1077	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
ONCNJIDD_00017	CDS	99				hypothetical protein
ONCNJIDD_00018	CDS	1023	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ONCNJIDD_00019	CDS	2214				hypothetical protein
ONCNJIDD_00020	CDS	444	yqeY		COG1610	putative protein YqeY
ONCNJIDD_00021	CDS	1170				hypothetical protein
ONCNJIDD_00022	CDS	873				hypothetical protein
ONCNJIDD_00023	CDS	663	rsxB_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
ONCNJIDD_00024	CDS	3519	napA_1	1.9.6.1		Periplasmic nitrate reductase
ONCNJIDD_00025	CDS	1677				hypothetical protein
ONCNJIDD_00026	CDS	1215	napF_1			Ferredoxin-type protein NapF
ONCNJIDD_00027	CDS	873				hypothetical protein
ONCNJIDD_00028	CDS	675				hypothetical protein
ONCNJIDD_00029	CDS	921				hypothetical protein
ONCNJIDD_00030	CDS	696	torD_1			Chaperone protein TorD
ONCNJIDD_00031	CDS	639	napG_1		COG1145	Ferredoxin-type protein NapG
ONCNJIDD_00032	CDS	1083				hypothetical protein
ONCNJIDD_00033	CDS	1992				hypothetical protein
ONCNJIDD_00034	CDS	372				hypothetical protein
ONCNJIDD_00035	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
ONCNJIDD_00036	CDS	249	hypC		COG0298	Hydrogenase maturation factor HypC
ONCNJIDD_00037	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
ONCNJIDD_00038	CDS	1902	pgi	5.3.1.9		Glucose-6-phosphate isomerase
