locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNJMLFKL_00001	CDS	1074	pilT		COG2805	Twitching mobility protein
CNJMLFKL_00002	CDS	420				hypothetical protein
CNJMLFKL_00003	CDS	636				hypothetical protein
CNJMLFKL_00004	CDS	627				hypothetical protein
CNJMLFKL_00005	CDS	324				hypothetical protein
CNJMLFKL_00006	CDS	1053	epsF		COG1459	Type II secretion system protein F
CNJMLFKL_00007	CDS	990				hypothetical protein
CNJMLFKL_00008	CDS	3000	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CNJMLFKL_00009	CDS	363				hypothetical protein
CNJMLFKL_00010	CDS	2109	rssB			Regulator of RpoS
CNJMLFKL_00011	CDS	1236	paaK_1	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
CNJMLFKL_00012	CDS	732	walR_1		COG0745	Transcriptional regulatory protein WalR
CNJMLFKL_00013	CDS	1743	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
CNJMLFKL_00014	CDS	597	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
CNJMLFKL_00015	CDS	2667	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
CNJMLFKL_00016	CDS	648				hypothetical protein
CNJMLFKL_00017	CDS	312				hypothetical protein
CNJMLFKL_00018	CDS	306				hypothetical protein
CNJMLFKL_00019	CDS	702				hypothetical protein
CNJMLFKL_00020	CDS	2238				hypothetical protein
CNJMLFKL_00021	CDS	462	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
CNJMLFKL_00022	CDS	954				hypothetical protein
CNJMLFKL_00023	CDS	231				hypothetical protein
CNJMLFKL_00024	tRNA	87				tRNA-Leu(cag)
CNJMLFKL_00025	CDS	744				hypothetical protein
CNJMLFKL_00026	CDS	1314				hypothetical protein
CNJMLFKL_00027	CDS	288				hypothetical protein
CNJMLFKL_00028	CDS	888	fliY_1		COG0834	L-cystine-binding protein FliY
CNJMLFKL_00029	CDS	825	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
CNJMLFKL_00030	CDS	735	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
CNJMLFKL_00031	CDS	684	ydjF		COG1842	Phage shock protein A 
CNJMLFKL_00032	CDS	918				hypothetical protein
CNJMLFKL_00033	CDS	471				hypothetical protein
CNJMLFKL_00034	CDS	1653	ubiB	2.7.-.-		protein kinase UbiB
CNJMLFKL_00035	CDS	870				hypothetical protein
CNJMLFKL_00036	CDS	414	fhaB		COG1716	FHA domain-containing protein FhaB
CNJMLFKL_00037	CDS	1317				hypothetical protein
CNJMLFKL_00038	CDS	2784	ftsI_1	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
CNJMLFKL_00039	CDS	1917	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
CNJMLFKL_00040	CDS	900				hypothetical protein
CNJMLFKL_00041	CDS	672	cutD	1.97.1.-		Choline trimethylamine-lyase activating enzyme
CNJMLFKL_00042	CDS	915	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
CNJMLFKL_00043	CDS	732	walR_2		COG0745	Transcriptional regulatory protein WalR
CNJMLFKL_00044	CDS	1044				hypothetical protein
CNJMLFKL_00045	CDS	864	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
