locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPNHADCD_00001	CDS	3078				hypothetical protein
HPNHADCD_00002	CDS	2175				hypothetical protein
HPNHADCD_00003	tRNA	76				tRNA-Ala(tgc)
HPNHADCD_00004	tRNA	77				tRNA-Ile(gat)
HPNHADCD_00005	CDS	513			COG1259	putative protein
HPNHADCD_00006	CDS	114				hypothetical protein
HPNHADCD_00007	CDS	2841	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
HPNHADCD_00008	CDS	1944	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
HPNHADCD_00009	CDS	138				hypothetical protein
HPNHADCD_00010	CDS	1107	recF		COG1195	DNA replication and repair protein RecF
HPNHADCD_00011	CDS	1101	dnaN		COG0592	Beta sliding clamp
HPNHADCD_00012	CDS	1134				hypothetical protein
HPNHADCD_00013	CDS	1629	dnaA		COG0593	Chromosomal replication initiator protein DnaA
HPNHADCD_00014	CDS	777	yidC			Membrane protein insertase YidC
HPNHADCD_00015	CDS	588				hypothetical protein
HPNHADCD_00016	CDS	675	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
HPNHADCD_00017	CDS	996				Iron-sulfur cluster carrier protein
HPNHADCD_00018	CDS	1059	noc			Nucleoid occlusion protein
HPNHADCD_00019	CDS	924	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
HPNHADCD_00020	CDS	1137	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
HPNHADCD_00021	CDS	639				hypothetical protein
HPNHADCD_00022	CDS	2970	dinG	3.1.-.-		3'-5' exonuclease DinG
HPNHADCD_00023	CDS	951				hypothetical protein
HPNHADCD_00024	CDS	3129				hypothetical protein
HPNHADCD_00025	tRNA	76				tRNA-Arg(cct)
HPNHADCD_00026	CDS	294	rpsF		COG0360	30S ribosomal protein S6
HPNHADCD_00027	CDS	510	ssb		COG0629	Single-stranded DNA-binding protein
HPNHADCD_00028	CDS	261				hypothetical protein
HPNHADCD_00029	CDS	585				hypothetical protein
HPNHADCD_00030	CDS	1416	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
HPNHADCD_00031	CDS	1281				hypothetical protein
HPNHADCD_00032	CDS	2226	smc_1			Chromosome partition protein Smc
HPNHADCD_00033	CDS	216				hypothetical protein
HPNHADCD_00034	CDS	1326	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
HPNHADCD_00035	CDS	1293	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
