locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEEPEHAE_00001	CDS	1347				hypothetical protein
GEEPEHAE_00002	CDS	1386				hypothetical protein
GEEPEHAE_00003	CDS	1938	urdA_1	1.3.99.33	COG0431	Urocanate reductase
GEEPEHAE_00004	CDS	1044				hypothetical protein
GEEPEHAE_00005	CDS	732	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
GEEPEHAE_00006	CDS	852	senX3	2.7.13.3		Signal-transduction histidine kinase senX3
GEEPEHAE_00007	CDS	561	cutD	1.97.1.-		Choline trimethylamine-lyase activating enzyme
GEEPEHAE_00008	CDS	900				hypothetical protein
GEEPEHAE_00009	CDS	1935	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
GEEPEHAE_00010	CDS	2784	ftsI	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
GEEPEHAE_00011	CDS	1317				hypothetical protein
GEEPEHAE_00012	CDS	414	fhaB		COG1716	FHA domain-containing protein FhaB
GEEPEHAE_00013	CDS	870				hypothetical protein
GEEPEHAE_00014	CDS	1653	ubiB	2.7.-.-		protein kinase UbiB
GEEPEHAE_00015	CDS	1200				hypothetical protein
GEEPEHAE_00016	CDS	471				hypothetical protein
GEEPEHAE_00017	CDS	1167				hypothetical protein
GEEPEHAE_00018	CDS	684	ydjF		COG1842	Phage shock protein A 
GEEPEHAE_00019	CDS	411				hypothetical protein
GEEPEHAE_00020	CDS	606				hypothetical protein
GEEPEHAE_00021	CDS	735	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
GEEPEHAE_00022	CDS	129				hypothetical protein
GEEPEHAE_00023	CDS	798	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
GEEPEHAE_00024	CDS	897	fliY_1		COG0834	L-cystine-binding protein FliY
GEEPEHAE_00025	CDS	288				hypothetical protein
GEEPEHAE_00026	CDS	1401				hypothetical protein
GEEPEHAE_00027	CDS	1002				hypothetical protein
GEEPEHAE_00028	CDS	885				hypothetical protein
GEEPEHAE_00029	tRNA	87				tRNA-Leu(cag)
GEEPEHAE_00030	CDS	231				hypothetical protein
GEEPEHAE_00031	CDS	462	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
GEEPEHAE_00032	CDS	2307				hypothetical protein
GEEPEHAE_00033	CDS	702				hypothetical protein
GEEPEHAE_00034	CDS	306				hypothetical protein
GEEPEHAE_00035	CDS	312				hypothetical protein
GEEPEHAE_00036	CDS	648				hypothetical protein
GEEPEHAE_00037	CDS	2667	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
GEEPEHAE_00038	CDS	597	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GEEPEHAE_00039	CDS	1743	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GEEPEHAE_00040	CDS	732	walR_1		COG0745	Transcriptional regulatory protein WalR
GEEPEHAE_00041	CDS	651				hypothetical protein
GEEPEHAE_00042	CDS	612	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
GEEPEHAE_00043	CDS	1197				hypothetical protein
GEEPEHAE_00044	CDS	6891				hypothetical protein
GEEPEHAE_00045	CDS	663	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
GEEPEHAE_00046	CDS	1236	paaK_1	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
GEEPEHAE_00047	CDS	891		3.1.4.-	COG3437	putative cyclic di-GMP phosphodiesterase
GEEPEHAE_00048	CDS	1158				hypothetical protein
GEEPEHAE_00049	CDS	363				hypothetical protein
GEEPEHAE_00050	CDS	2997	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GEEPEHAE_00051	CDS	993				hypothetical protein
GEEPEHAE_00052	CDS	1053	epsF		COG1459	Type II secretion system protein F
GEEPEHAE_00053	CDS	324				hypothetical protein
GEEPEHAE_00054	CDS	627				hypothetical protein
GEEPEHAE_00055	CDS	636				hypothetical protein
GEEPEHAE_00056	CDS	420				hypothetical protein
GEEPEHAE_00057	CDS	1074	pilT		COG2805	Twitching mobility protein
GEEPEHAE_00058	CDS	840	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
GEEPEHAE_00059	CDS	2724	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
GEEPEHAE_00060	CDS	1425	purF_1	2.4.2.14		Amidophosphoribosyltransferase
GEEPEHAE_00061	CDS	1017				hypothetical protein
GEEPEHAE_00062	tRNA	78				tRNA-Met(cat)
GEEPEHAE_00063	CDS	642				hypothetical protein
GEEPEHAE_00064	CDS	585				hypothetical protein
GEEPEHAE_00065	CDS	864				hypothetical protein
GEEPEHAE_00066	CDS	507				hypothetical protein
GEEPEHAE_00067	CDS	1530				hypothetical protein
GEEPEHAE_00068	CDS	1818				hypothetical protein
GEEPEHAE_00069	CDS	762				hypothetical protein
GEEPEHAE_00070	CDS	630				hypothetical protein
GEEPEHAE_00071	CDS	495				hypothetical protein
GEEPEHAE_00072	CDS	240				hypothetical protein
GEEPEHAE_00073	CDS	213				hypothetical protein
GEEPEHAE_00074	CDS	468				hypothetical protein
GEEPEHAE_00075	CDS	1410				hypothetical protein
GEEPEHAE_00076	CDS	525				hypothetical protein
GEEPEHAE_00077	CDS	870	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GEEPEHAE_00078	CDS	813	fetB		COG0390	putative iron export permease protein FetB
GEEPEHAE_00079	CDS	1605				hypothetical protein
GEEPEHAE_00080	CDS	864				hypothetical protein
GEEPEHAE_00081	CDS	1062				hypothetical protein
GEEPEHAE_00082	CDS	924	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
GEEPEHAE_00083	CDS	540				hypothetical protein
GEEPEHAE_00084	CDS	402				hypothetical protein
GEEPEHAE_00085	CDS	555				hypothetical protein
GEEPEHAE_00086	CDS	1524	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
GEEPEHAE_00087	CDS	744	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
GEEPEHAE_00088	CDS	1260	nrfA_1	1.7.2.2		Cytochrome c-552
GEEPEHAE_00089	CDS	1170				hypothetical protein
GEEPEHAE_00090	CDS	786	mntB		COG1121	Manganese transport system ATP-binding protein MntB
GEEPEHAE_00091	CDS	981			COG0609	putative ABC transporter permease protein
GEEPEHAE_00092	CDS	864				hypothetical protein
GEEPEHAE_00093	CDS	684				hypothetical protein
GEEPEHAE_00094	CDS	1674	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GEEPEHAE_00095	CDS	1932	urdA_2	1.3.99.33	COG0431	Urocanate reductase
GEEPEHAE_00096	CDS	966	tfdS			HTH-type transcriptional regulator TfdS
GEEPEHAE_00097	CDS	1416				hypothetical protein
GEEPEHAE_00098	CDS	759	urdA_3	1.3.99.33	COG1053	Urocanate reductase
GEEPEHAE_00099	CDS	288	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
GEEPEHAE_00100	CDS	2571	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
GEEPEHAE_00101	CDS	1848	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
GEEPEHAE_00102	CDS	552				hypothetical protein
GEEPEHAE_00103	CDS	2451	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
GEEPEHAE_00104	CDS	1062	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GEEPEHAE_00105	CDS	1206				hypothetical protein
GEEPEHAE_00106	CDS	291				hypothetical protein
GEEPEHAE_00107	CDS	447				hypothetical protein
GEEPEHAE_00108	CDS	1617	recN		COG0497	DNA repair protein RecN
GEEPEHAE_00109	CDS	1644				hypothetical protein
GEEPEHAE_00110	CDS	2154	uvrB		COG0556	UvrABC system protein B
GEEPEHAE_00111	CDS	1032				hypothetical protein
GEEPEHAE_00112	CDS	390				hypothetical protein
GEEPEHAE_00113	CDS	1752	ifcA_2	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GEEPEHAE_00114	CDS	861				hypothetical protein
GEEPEHAE_00115	CDS	303				hypothetical protein
GEEPEHAE_00116	CDS	441				hypothetical protein
GEEPEHAE_00117	CDS	600	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
GEEPEHAE_00118	CDS	1218	rpsA		COG0539	30S ribosomal protein S1
GEEPEHAE_00119	CDS	1401				hypothetical protein
GEEPEHAE_00120	CDS	1047				hypothetical protein
GEEPEHAE_00121	CDS	261				hypothetical protein
GEEPEHAE_00122	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
GEEPEHAE_00123	CDS	1326	amt			Ammonia channel
GEEPEHAE_00124	CDS	666				hypothetical protein
GEEPEHAE_00125	CDS	930				hypothetical protein
GEEPEHAE_00126	CDS	429	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
GEEPEHAE_00127	CDS	900				hypothetical protein
GEEPEHAE_00128	CDS	651	torD_1			Chaperone protein TorD
GEEPEHAE_00129	CDS	555	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GEEPEHAE_00130	CDS	552	dmsB_3		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GEEPEHAE_00131	CDS	2445		4.2.1.112		Acetylene hydratase
GEEPEHAE_00132	CDS	1995	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
GEEPEHAE_00133	CDS	261				hypothetical protein
GEEPEHAE_00134	CDS	588	nusB			Transcription antitermination protein NusB
GEEPEHAE_00135	CDS	351				hypothetical protein
GEEPEHAE_00136	CDS	1353	accC	6.3.4.14	COG0439	Biotin carboxylase
GEEPEHAE_00137	CDS	1872	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
GEEPEHAE_00138	CDS	402				hypothetical protein
GEEPEHAE_00139	CDS	1056				hypothetical protein
GEEPEHAE_00140	CDS	606				hypothetical protein
GEEPEHAE_00141	CDS	1725				hypothetical protein
GEEPEHAE_00142	CDS	1497				hypothetical protein
GEEPEHAE_00143	CDS	882	degV		COG1307	Protein DegV
GEEPEHAE_00144	CDS	564	efp		COG0231	Elongation factor P
GEEPEHAE_00145	CDS	1521				hypothetical protein
GEEPEHAE_00146	CDS	2484	ynfF_1	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
GEEPEHAE_00147	CDS	627	dmsB_4		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GEEPEHAE_00148	CDS	588	dmsD_1		COG3381	Tat proofreading chaperone DmsD
GEEPEHAE_00149	CDS	744				hypothetical protein
GEEPEHAE_00150	CDS	948				hypothetical protein
GEEPEHAE_00151	CDS	1146		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
GEEPEHAE_00152	CDS	450	yqhS	4.2.1.10	COG0757	3-dehydroquinate dehydratase
GEEPEHAE_00153	CDS	1110	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
GEEPEHAE_00154	CDS	537	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
GEEPEHAE_00155	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
GEEPEHAE_00156	CDS	1440	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
GEEPEHAE_00157	CDS	930	ydiB	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
GEEPEHAE_00158	CDS	633				hypothetical protein
GEEPEHAE_00159	CDS	1221	mltG	4.2.2.-		Endolytic murein transglycosylase
