locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIFENOEF_00001	CDS	1857				hypothetical protein
NIFENOEF_00002	CDS	1158				hypothetical protein
NIFENOEF_00003	CDS	2379	priA	3.6.4.-	COG1198	Primosomal protein N'
NIFENOEF_00004	CDS	486	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
NIFENOEF_00005	CDS	927				hypothetical protein
NIFENOEF_00006	CDS	1392				hypothetical protein
NIFENOEF_00007	CDS	1602				hypothetical protein
NIFENOEF_00008	CDS	1269	metK_1	2.5.1.6	COG0192	S-adenosylmethionine synthase
NIFENOEF_00009	CDS	417				hypothetical protein
NIFENOEF_00010	CDS	1296				hypothetical protein
NIFENOEF_00011	CDS	1623	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
NIFENOEF_00012	CDS	2298				hypothetical protein
NIFENOEF_00013	CDS	447				hypothetical protein
NIFENOEF_00014	CDS	1020	yicL		COG0697	putative inner membrane transporter YicL
NIFENOEF_00015	CDS	3876	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
NIFENOEF_00016	CDS	663	nth_1	4.2.99.18	COG0177	Endonuclease III
NIFENOEF_00017	CDS	501				hypothetical protein
NIFENOEF_00018	CDS	438				hypothetical protein
NIFENOEF_00019	CDS	2193				hypothetical protein
NIFENOEF_00020	CDS	2652				hypothetical protein
NIFENOEF_00021	CDS	687				hypothetical protein
NIFENOEF_00022	CDS	1674	hydB	1.12.2.1	COG0374	Periplasmic [NiFe] hydrogenase large subunit
NIFENOEF_00023	CDS	1278				hypothetical protein
NIFENOEF_00024	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
NIFENOEF_00025	CDS	933				hypothetical protein
NIFENOEF_00026	CDS	642	mntP		COG1971	putative manganese efflux pump MntP
NIFENOEF_00027	CDS	894	nth_2	4.2.99.18		Endonuclease III
NIFENOEF_00028	CDS	1431				hypothetical protein
NIFENOEF_00029	CDS	858				hypothetical protein
NIFENOEF_00030	CDS	1908			COG1132	putative ABC transporter ATP-binding protein
NIFENOEF_00031	CDS	1812			COG1132	putative ABC transporter ATP-binding protein
NIFENOEF_00032	CDS	330				hypothetical protein
NIFENOEF_00033	CDS	789				hypothetical protein
NIFENOEF_00034	CDS	12111				hypothetical protein
NIFENOEF_00035	CDS	783				hypothetical protein
NIFENOEF_00036	CDS	762	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
NIFENOEF_00037	CDS	1131	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
NIFENOEF_00038	CDS	2718	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
NIFENOEF_00039	CDS	1020				hypothetical protein
NIFENOEF_00040	CDS	912	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
NIFENOEF_00041	CDS	2088	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
NIFENOEF_00042	CDS	1140				hypothetical protein
NIFENOEF_00043	CDS	621	sipT	3.4.21.89	COG0681	Signal peptidase I T
NIFENOEF_00044	CDS	939	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
NIFENOEF_00045	CDS	525	rimM			Ribosome maturation factor RimM
NIFENOEF_00046	CDS	255				hypothetical protein
NIFENOEF_00047	CDS	246	rpsP		COG0228	30S ribosomal protein S16
NIFENOEF_00048	CDS	624	nikE	7.2.2.11	COG4608	Nickel import system ATP-binding protein NikE
NIFENOEF_00049	CDS	993	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NIFENOEF_00050	CDS	876	oppC		COG1173	Oligopeptide transport system permease protein OppC
NIFENOEF_00051	CDS	984	dppB		COG0601	Dipeptide transport system permease protein DppB
NIFENOEF_00052	CDS	1671				hypothetical protein
NIFENOEF_00053	CDS	1416	ffh		COG0541	Signal recognition particle protein
NIFENOEF_00054	CDS	1491	ftsY			Signal recognition particle receptor FtsY
NIFENOEF_00055	CDS	1380				hypothetical protein
NIFENOEF_00056	CDS	294				hypothetical protein
NIFENOEF_00057	CDS	609	soeB_1		COG0437	Sulfite dehydrogenase subunit B
NIFENOEF_00058	CDS	2550	napA_1	1.9.6.1		Periplasmic nitrate reductase
NIFENOEF_00059	CDS	3168				hypothetical protein
NIFENOEF_00060	CDS	2319				hypothetical protein
NIFENOEF_00061	CDS	1755				hypothetical protein
NIFENOEF_00062	CDS	1338				hypothetical protein
NIFENOEF_00063	CDS	1662				hypothetical protein
NIFENOEF_00064	CDS	1365				hypothetical protein
NIFENOEF_00065	CDS	816				hypothetical protein
NIFENOEF_00066	CDS	879				hypothetical protein
NIFENOEF_00067	CDS	1158		2.4.1.11	COG0438	Glycogen synthase
NIFENOEF_00068	CDS	849				hypothetical protein
NIFENOEF_00069	CDS	1830	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
NIFENOEF_00070	CDS	1095				hypothetical protein
NIFENOEF_00071	CDS	1530	dltA_1	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
NIFENOEF_00072	CDS	972				hypothetical protein
NIFENOEF_00073	CDS	240				hypothetical protein
NIFENOEF_00074	CDS	255	dltC		COG0236	D-alanyl carrier protein
NIFENOEF_00075	CDS	1182	dltD		COG3966	Protein DltD
NIFENOEF_00076	CDS	186				hypothetical protein
NIFENOEF_00077	CDS	2640	glmU_1	2.7.7.23		Bifunctional protein GlmU
NIFENOEF_00078	CDS	2019				hypothetical protein
NIFENOEF_00079	CDS	369				hypothetical protein
NIFENOEF_00080	CDS	705	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
NIFENOEF_00081	CDS	1077	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
NIFENOEF_00082	CDS	1437				hypothetical protein
NIFENOEF_00083	CDS	726				hypothetical protein
NIFENOEF_00084	CDS	1254				hypothetical protein
NIFENOEF_00085	CDS	996	neuB	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
NIFENOEF_00086	CDS	1575				hypothetical protein
NIFENOEF_00087	CDS	1761				hypothetical protein
NIFENOEF_00088	CDS	1014				hypothetical protein
