locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEKAMLKB_00001	CDS	834				hypothetical protein
GEKAMLKB_00002	CDS	1371				hypothetical protein
GEKAMLKB_00003	CDS	1599				hypothetical protein
GEKAMLKB_00004	CDS	822				hypothetical protein
GEKAMLKB_00005	CDS	285				hypothetical protein
GEKAMLKB_00006	CDS	738				hypothetical protein
GEKAMLKB_00007	CDS	1476	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
GEKAMLKB_00008	CDS	339				hypothetical protein
GEKAMLKB_00009	CDS	444				hypothetical protein
GEKAMLKB_00010	CDS	687	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
GEKAMLKB_00011	CDS	459				hypothetical protein
GEKAMLKB_00012	CDS	1218	lnpD	5.1.3.2		UDP-glucose 4-epimerase
GEKAMLKB_00013	CDS	1413	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
GEKAMLKB_00014	CDS	456				hypothetical protein
GEKAMLKB_00015	CDS	255				hypothetical protein
GEKAMLKB_00016	CDS	423			COG0864	Putative nickel-responsive regulator
GEKAMLKB_00017	CDS	1026	hypE	4.2.1.-		Carbamoyl dehydratase HypE
GEKAMLKB_00018	CDS	189				Ferredoxin-2
GEKAMLKB_00019	CDS	498				hypothetical protein
GEKAMLKB_00020	CDS	1941				hypothetical protein
GEKAMLKB_00021	CDS	1449				hypothetical protein
GEKAMLKB_00022	CDS	1905	dnaK		COG0443	Chaperone protein DnaK
GEKAMLKB_00023	CDS	684	grpE			Protein GrpE
GEKAMLKB_00024	CDS	951	dnaJ_1		COG0484	Chaperone protein DnaJ
GEKAMLKB_00025	CDS	378				hypothetical protein
GEKAMLKB_00026	CDS	2814	clpB		COG0542	Chaperone protein ClpB
GEKAMLKB_00027	CDS	1335				hypothetical protein
GEKAMLKB_00028	CDS	1971	urdA_1	1.3.99.33	COG0431	Urocanate reductase
GEKAMLKB_00029	CDS	1347	gltT			Proton/sodium-glutamate symport protein
GEKAMLKB_00030	CDS	639	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
GEKAMLKB_00031	CDS	807				hypothetical protein
GEKAMLKB_00032	CDS	714	lytR		COG3279	Sensory transduction protein LytR
GEKAMLKB_00033	CDS	1902	pgi	5.3.1.9		Glucose-6-phosphate isomerase
GEKAMLKB_00034	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
GEKAMLKB_00035	CDS	249	hypC		COG0298	Hydrogenase maturation factor HypC
GEKAMLKB_00036	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
GEKAMLKB_00037	CDS	372				hypothetical protein
GEKAMLKB_00038	CDS	2001				hypothetical protein
GEKAMLKB_00039	CDS	1083				hypothetical protein
GEKAMLKB_00040	CDS	639	napG_1		COG1145	Ferredoxin-type protein NapG
GEKAMLKB_00041	CDS	696	torD_1			Chaperone protein TorD
GEKAMLKB_00042	CDS	921				hypothetical protein
GEKAMLKB_00043	CDS	675				hypothetical protein
GEKAMLKB_00044	CDS	870				hypothetical protein
GEKAMLKB_00045	CDS	1215	napF_1			Ferredoxin-type protein NapF
GEKAMLKB_00046	CDS	1677				hypothetical protein
GEKAMLKB_00047	CDS	3519	napA_1	1.9.6.1		Periplasmic nitrate reductase
